No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
41324,2014,9,18,19,34,9,21,1016,SE,13.42,0,0
41325,2014,9,18,20,37,9,19,1017,SE,15.21,0,0
41326,2014,9,18,21,51,9,19,1017,SE,17,0,0
41327,2014,9,18,22,61,9,21,1017,SE,20.13,0,0
41328,2014,9,18,23,63,10,21,1017,SE,23.26,0,0
41329,2014,9,19,0,59,12,15,1016,SE,25.05,0,0
41330,2014,9,19,1,70,12,15,1016,SE,25.94,0,0
41331,2014,9,19,2,78,11,14,1015,NE,0.89,0,0
41332,2014,9,19,3,84,11,13,1015,cv,0.89,0,0
41333,2014,9,19,4,97,11,13,1014,NE,1.79,0,0
41334,2014,9,19,5,110,10,12,1014,NE,2.68,0,0
41335,2014,9,19,6,106,11,13,1014,NE,3.57,0,0
41336,2014,9,19,7,92,11,14,1015,NE,4.46,0,0
41337,2014,9,19,8,110,13,16,1014,SE,1.79,0,0
41338,2014,9,19,9,121,15,18,1014,SE,3.58,0,0
41339,2014,9,19,10,136,15,20,1014,SE,5.37,0,0
41340,2014,9,19,11,150,15,21,1013,cv,1.79,0,0
41341,2014,9,19,12,118,14,24,1012,cv,4.92,0,0
41342,2014,9,19,13,91,14,24,1011,SE,3.13,0,0
41343,2014,9,19,14,86,14,24,1010,SE,6.26,0,0
41344,2014,9,19,15,67,14,25,1009,SE,10.28,0,0
41345,2014,9,19,16,60,15,24,1009,SE,14.3,0,0
41346,2014,9,19,17,53,14,24,1009,SE,16.09,0,0
41347,2014,9,19,18,53,15,23,1010,NE,3.13,0,0
41348,2014,9,19,19,NA,17,19,1010,SE,3.13,0,1
41349,2014,9,19,20,97,17,19,1010,NE,1.79,0,2
41350,2014,9,19,21,105,17,19,1011,cv,0.89,0,0
41351,2014,9,19,22,119,17,18,1011,cv,1.78,0,0
41352,2014,9,19,23,140,16,18,1010,NE,1.79,0,0
41353,2014,9,20,0,144,16,18,1010,cv,0.89,0,0
41354,2014,9,20,1,141,16,18,1010,NE,0.89,0,0
41355,2014,9,20,2,145,17,18,1010,cv,0.89,0,0
41356,2014,9,20,3,142,17,18,1009,cv,1.78,0,0
41357,2014,9,20,4,141,17,18,1009,cv,2.23,0,0
41358,2014,9,20,5,136,16,17,1009,cv,2.68,0,0
41359,2014,9,20,6,128,16,17,1010,NW,3.13,0,0
41360,2014,9,20,7,110,16,17,1010,cv,0.45,0,0
41361,2014,9,20,8,116,17,19,1011,NW,1.79,0,0
41362,2014,9,20,9,123,17,20,1011,NW,3.58,0,0
41363,2014,9,20,10,127,17,22,1011,cv,0.89,0,0
41364,2014,9,20,11,124,18,23,1011,cv,2.68,0,0
41365,2014,9,20,12,115,16,24,1010,cv,3.57,0,0
41366,2014,9,20,13,117,17,26,1010,cv,4.46,0,0
41367,2014,9,20,14,113,16,27,1009,SE,1.79,0,0
41368,2014,9,20,15,89,16,27,1008,cv,1.79,0,0
41369,2014,9,20,16,95,14,27,1008,cv,2.68,0,0
41370,2014,9,20,17,78,14,26,1008,SE,1.79,0,0
41371,2014,9,20,18,140,16,23,1009,cv,0.89,0,0
41372,2014,9,20,19,153,16,22,1010,SE,1.79,0,0
41373,2014,9,20,20,159,17,20,1011,cv,0.89,0,0
41374,2014,9,20,21,180,17,19,1012,SE,1.79,0,0
41375,2014,9,20,22,200,18,20,1012,SE,3.58,0,0
41376,2014,9,20,23,228,18,20,1013,SE,5.37,0,0
41377,2014,9,21,0,229,15,21,1014,SE,10.29,0,0
41378,2014,9,21,1,200,14,20,1014,SE,15.21,0,0
41379,2014,9,21,2,146,14,20,1015,SE,18.34,0,0
41380,2014,9,21,3,133,14,19,1015,cv,0.89,0,0
41381,2014,9,21,4,125,14,19,1016,cv,1.78,0,0
41382,2014,9,21,5,79,14,19,1016,cv,2.67,0,0
41383,2014,9,21,6,80,13,18,1017,SE,0.89,0,0
41384,2014,9,21,7,72,14,19,1017,cv,0.89,0,0
41385,2014,9,21,8,59,14,19,1018,SE,1.79,0,0
41386,2014,9,21,9,63,14,20,1018,cv,0.89,0,0
41387,2014,9,21,10,64,14,21,1019,cv,1.78,0,0
41388,2014,9,21,11,52,12,22,1018,SE,1.79,0,0
41389,2014,9,21,12,67,14,23,1018,SE,3.58,0,0
41390,2014,9,21,13,78,14,24,1017,SE,5.37,0,0
41391,2014,9,21,14,89,16,24,1017,SE,7.16,0,0
41392,2014,9,21,15,88,17,25,1016,SE,8.95,0,0
41393,2014,9,21,16,96,16,25,1016,SE,12.08,0,0
41394,2014,9,21,17,100,16,24,1016,SE,15.21,0,0
